"","id","afr","dob","aoc","absw95","absw98","absw00","absw02","absw04","absw06","absw10","age_absw95","age_absw98","age_absw00","age_absw02","age_absw04","age_absw06","age_absw10"
"413",102,15.2111111111111,1992,18,142.35,269.3,209.23,113.42,128.25,382.94,NA,3,6,8,10,12,14,18
"294",103,19,1980,30,NA,NA,NA,NA,NA,NA,411.87,15,18,20,22,24,26,30
"35",104,NA,2001,9,NA,NA,NA,468.66,2155.98,955.6,10689.11,NA,NA,NA,1,3,5,9
"232",105,17.75,1989,21,NA,NA,NA,NA,397.71,584.47,159.75,6,9,11,13,15,17,21
"341",106,NA,1995,15,67.6,130.21,NA,NA,NA,NA,NA,0,3,5,7,9,11,15
"271",107,14.1666666666667,1992,18,35.1,57.28,67.88,70.62,84.23,169.37,1493.75,3,6,8,10,12,14,18
"67",108,19.7166666666667,1986,24,44.85,57.28,60.44,247.17,568.21,NA,505.66,9,12,14,16,18,20,24
"313",109,16,1982,28,NA,NA,NA,NA,NA,NA,3240.29,13,16,18,20,22,24,28
"106",110,16.75,1993,17,NA,NA,NA,247.17,329.52,NA,2419.83,2,5,7,9,11,13,17
"71",111,17.8388888888889,1985,25,631.8,746.25,1622.78,1774.06,NA,NA,1754.9,10,13,15,17,19,21,25
"292",112,NA,2000,10,NA,NA,209.23,113.42,128.25,382.94,567.99,NA,NA,0,2,4,6,10
"444",113,NA,2000,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,4,6,10
"76",114,NA,1998,12,NA,57.28,67.88,83.46,84.23,169.37,NA,NA,0,2,4,6,8,12
"213",115,NA,1992,18,35.1,49.09,64.16,184.05,84.23,NA,505.66,3,6,8,10,12,14,18
"305",116,NA,1998,12,NA,NA,NA,NA,NA,NA,169.42,NA,0,2,4,6,8,12
"28",117,NA,1998,12,NA,NA,203.01,231.12,295.02,526.11,4881.45,NA,0,2,4,6,8,12
"304",118,17.0083333333333,1989,21,145.6,130.21,225.53,502.9,675.7,594.7,581.38,6,9,11,13,15,17,21
"356",119,NA,1994,12,35.1,NA,110.66,NA,NA,NA,NA,1,4,6,8,10,12,16
"431",120,20.6944444444444,1980,30,261.95,538.93,NA,77.04,NA,NA,NA,15,18,20,22,24,26,30
"439",121,18.0888888888889,1983,27,40.95,200.41,60.44,395.9,639.13,NA,NA,12,15,17,19,21,23,27
"453",122,20.0777777777778,1981,29,98.8,NA,NA,NA,NA,NA,NA,14,17,19,21,23,25,29
"9",123,NA,1999,11,NA,NA,NA,1954.89,2376.07,2958.41,4210.85,NA,NA,1,3,5,7,11
"136",124,NA,1999,11,NA,NA,NA,NA,NA,NA,197.94,NA,NA,1,3,5,7,11
"438",125,NA,1998,12,NA,130.21,225.53,502.9,675.7,594.7,NA,NA,0,2,4,6,8,12
"493",126,17.3361111111111,1989,21,98.8,295.57,NA,NA,NA,NA,NA,6,9,11,13,15,17,21
"204",127,25.975,1980,30,45.5,62.35,97.19,170.13,91.67,1314.23,565.19,15,18,20,22,24,26,30
"487",128,18.7777777777778,1977,33,40.95,200.41,60.44,395.9,NA,NA,NA,18,21,23,25,27,29,33
"132",129,NA,2002,8,NA,NA,NA,1399.56,2137.37,3364.27,5095.44,NA,NA,NA,0,2,4,8
"310",130,32,1975,35,NA,NA,NA,NA,NA,NA,465.35,20,23,25,27,29,31,35
"300",131,20.1972222222222,1985,25,NA,NA,NA,NA,NA,NA,2043.13,10,13,15,17,19,21,25
"202",132,13.4833333333333,1983,27,NA,NA,NA,NA,328.28,NA,NA,12,15,17,19,21,23,27
"89",133,NA,1993,17,44.85,90.04,132.98,331.7,NA,448.75,933.75,2,5,7,9,11,13,17
"375",134,NA,1991,19,64.35,54.94,60.44,121.98,294.8,283.36,NA,4,7,9,11,13,15,19
"389",135,NA,1993,17,902.2,942.46,1147.2,383.06,1882.55,11306.74,NA,2,5,7,9,11,13,17
"245",136,24.5,1980,30,NA,49.09,157.16,70.62,84.23,NA,NA,15,18,20,22,24,26,30
"32",137,NA,1998,12,NA,49.09,60.44,177.62,437.4,549.74,1267.19,NA,0,2,4,6,8,12
"273",138,17.5833333333333,1991,19,NA,NA,NA,NA,NA,NA,346.06,4,7,9,11,13,15,19
"250",139,17.1666666666667,1988,22,NA,1291.12,1232.32,1366.39,1906.65,4699.87,891.75,7,10,12,14,16,18,22
"361",140,18.7222222222222,1978,32,87.75,132.16,NA,NA,NA,NA,NA,17,20,22,24,26,28,32
"402",141,NA,1933,73,NA,65.47,82.76,83.46,84.23,NA,NA,62,65,67,69,71,73,77
"254",142,18.8,1984,26,166.4,136.45,NA,NA,NA,434.86,614.33,11,14,16,18,20,22,26
"207",143,18.4666666666667,1981,29,35.1,NA,178.39,NA,NA,300.04,615.11,14,17,19,21,23,25,29
"420",144,NA,1999,11,NA,NA,60.44,383.06,492.57,549.74,NA,NA,NA,1,3,5,7,11
"142",145,NA,1997,13,NA,183.11,306.57,269.64,464.67,2577.33,8429.23,NA,1,3,5,7,9,13
"108",146,NA,1994,16,35.1,62.35,NA,376.64,444.84,238.87,1499.24,1,4,6,8,10,12,16
"20",147,NA,2002,8,NA,NA,NA,NA,1410.02,NA,4609.43,NA,NA,NA,0,2,4,8
"170",148,NA,1997,13,NA,905.37,NA,NA,NA,NA,5422.55,NA,1,3,5,7,9,13
"424",149,18,1980,30,74.1,NA,NA,NA,NA,NA,NA,15,18,20,22,24,26,30
"151",150,20.5833333333333,1978,32,119.6,54.55,67.88,93.09,294.8,382.94,284.55,17,20,22,24,26,28,32
"256",151,18.2472222222222,1977,33,NA,NA,NA,NA,NA,NA,1279.67,18,21,23,25,27,29,33
"152",152,18.0833333333333,1985,25,226.2,373.18,234.82,NA,152.42,2134.13,3910.81,10,13,15,17,19,21,25
"342",153,NA,1992,18,35.1,49.09,60.44,247.17,112.13,349.57,NA,3,6,8,10,12,14,18
"47",154,NA,1991,19,59.15,326.77,479.12,949.09,2054.83,510.82,3718.62,4,7,9,11,13,15,19
"463",155,NA,1985,21,NA,57.28,238.35,70.62,NA,NA,NA,10,13,15,17,19,21,25
"379",156,23.3138888888889,1981,25,35.1,57.67,178.39,NA,472.12,NA,NA,14,17,19,21,23,25,29
"125",157,NA,1993,17,NA,942.46,1147.2,383.06,1882.55,1538.11,33886.77,2,5,7,9,11,13,17
"274",158,18.1666666666667,1989,21,NA,474.56,238.35,70.62,226.83,633.15,480.63,6,9,11,13,15,17,21
"383",159,NA,1987,23,NA,NA,NA,1774.06,2268.81,109.61,NA,8,11,13,15,17,19,23
"492",160,NA,1980,26,NA,NA,NA,NA,437.4,NA,NA,15,18,20,22,24,26,30
"123",161,NA,1996,14,NA,52.21,60.44,247.17,322.31,109.61,197.94,NA,2,4,6,8,10,14
"122",162,15.6666666666667,1991,19,NA,1291.12,1232.32,1366.39,1906.65,4699.87,9342.7,4,7,9,11,13,15,19
"265",163,16.9166666666667,1988,22,NA,57.28,60.44,70.62,324.56,NA,NA,7,10,12,14,16,18,22
"68",164,NA,2000,10,NA,NA,60.44,247.17,568.21,NA,505.66,NA,NA,0,2,4,6,10
"473",165,NA,1994,16,44.85,NA,NA,NA,NA,NA,NA,1,4,6,8,10,12,16
"59",166,NA,1998,12,NA,51.82,60.44,150.87,578.14,1009.82,1768.74,NA,0,2,4,6,8,12
"1",167,NA,1996,14,NA,517.87,529.16,945.88,1779.7,4974.61,13901.33,NA,2,4,6,8,10,14
"14",168,NA,1992,18,35.1,NA,NA,NA,NA,2869.25,3424.19,3,6,8,10,12,14,18
"257",169,19.1666666666667,1985,25,427.7,825.97,600.02,692.29,3423.55,NA,826.55,10,13,15,17,19,21,25
"417",170,16.1972222222222,1984,26,285.35,853.27,1117.74,NA,NA,NA,NA,11,14,16,18,20,22,26
"43",171,16.8138888888889,1992,18,NA,NA,NA,NA,NA,NA,960.25,3,6,8,10,12,14,18
"454",172,23,1976,34,NA,49.09,64.16,83.46,324.56,137.41,NA,19,22,24,26,28,30,34
"103",173,NA,1990,20,NA,NA,NA,NA,84.23,99.87,235.38,5,8,10,12,14,16,20
"457",174,17.2666666666667,1978,28,NA,965.04,NA,NA,NA,NA,NA,17,20,22,24,26,28,32
"297",175,23.9138888888889,1974,36,NA,49.09,NA,NA,NA,349.57,1350.37,21,24,26,28,30,32,36
"196",176,NA,1998,12,NA,NA,67.88,NA,NA,99.87,540.23,NA,0,2,4,6,8,12
"382",177,24.5361111111111,1982,28,NA,1291.12,1232.32,1366.39,1906.65,4699.87,NA,13,16,18,20,22,24,28
"433",178,19.3333333333333,1977,29,NA,NA,NA,70.62,NA,NA,NA,18,21,23,25,27,29,33
"70",179,20.2527777777778,1984,26,80.6,92.38,71.6,326.35,2057.38,442.72,1754.9,11,14,16,18,20,22,26
"101",180,NA,1989,21,NA,NA,NA,239.68,84.23,99.87,235.38,6,9,11,13,15,17,21
"113",181,NA,1998,12,NA,175.31,240.26,247.17,300.38,620.62,505.66,NA,0,2,4,6,8,12
"288",182,18.4083333333333,1985,25,NA,NA,NA,NA,NA,NA,4300.2,10,13,15,17,19,21,25
"219",183,NA,2001,9,NA,NA,NA,349.89,NA,NA,960.25,NA,NA,NA,1,3,5,9
"367",184,NA,1993,17,NA,NA,237.14,104.86,174.75,662.82,NA,2,5,7,9,11,13,17
"380",185,NA,1975,31,NA,NA,NA,NA,NA,NA,NA,20,23,25,27,29,31,35
"470",186,NA,1995,15,NA,NA,NA,226.84,NA,NA,NA,0,3,5,7,9,11,15
"38",187,NA,1994,16,171.6,127.48,339.44,632.37,1322.98,2413.73,3245.75,1,4,6,8,10,12,16
"172",188,NA,1999,11,NA,NA,NA,NA,NA,NA,5422.55,NA,NA,1,3,5,7,11
"480",189,28.8166666666667,1970,36,NA,NA,NA,70.62,NA,NA,NA,25,28,30,32,34,36,40
"318",190,29,1975,35,NA,NA,NA,NA,NA,NA,NA,20,23,25,27,29,31,35
"100",191,18.6611111111111,1980,30,35.1,NA,NA,NA,91.67,99.87,263.15,15,18,20,22,24,26,30
"268",192,17.25,1990,20,NA,103.69,79.04,70.62,226.83,349.57,1176.42,5,8,10,12,14,16,20
"173",193,21.7694444444444,1981,29,NA,NA,NA,70.62,1278.59,2143.85,3660.91,14,17,19,21,23,25,29
"174",194,14.0666666666667,1989,21,80.6,NA,NA,420.51,113.99,99.87,649.31,6,9,11,13,15,17,21
"408",195,18.4833333333333,1978,32,35.1,NA,783.27,323.14,NA,NA,NA,17,20,22,24,26,28,32
"98",196,19.3361111111111,1982,28,35.1,90.04,63.71,111.28,NA,NA,263.15,13,16,18,20,22,24,28
"485",197,18.4305555555556,1982,24,NA,NA,79.04,NA,NA,NA,NA,13,16,18,20,22,24,28
"29",198,17.5305555555556,1980,30,283.4,172.58,209.23,NA,NA,NA,634.02,15,18,20,22,24,26,30
"394",199,NA,2001,9,NA,NA,NA,NA,84.23,NA,NA,NA,NA,NA,1,3,5,9
"218",200,18.9472222222222,1980,30,35.1,122.02,79.04,74.9,140.03,169.37,197.94,15,18,20,22,24,26,30
"334",201,NA,1990,16,NA,302.59,134.84,439.77,951.99,549.74,NA,5,8,10,12,14,16,20
